"household_id","province","urban_rural","household_size","income_category","enumeration_area","dwelling_type"
1,"Eastern Cape","Rural",3,"Medium","EA_0200","House"
2,"Western Cape","Rural",4,"Medium","EA_0475","Informal"
3,"Western Cape","Rural",5,"Medium","EA_0367","Informal"
4,"Western Cape","Rural",3,"Low","EA_0218","House"
5,"Eastern Cape","Urban",3,"Medium","EA_0303","Townhouse"
6,"Western Cape","Rural",3,"Medium","EA_0060","Traditional"
7,"North West","Urban",7,"High","EA_0097","Townhouse"
8,"Gauteng","Rural",3,"Low","EA_0239","House"
9,"Limpopo","Urban",5,"Medium","EA_0032","Flat"
10,"Western Cape","Urban",4,"Low","EA_0433","Flat"
11,"KwaZulu-Natal","Rural",6,"Low","EA_0156","House"
12,"Free State","Rural",7,"Medium","EA_0271","House"
13,"Limpopo","Urban",4,"Low","EA_0108","House"
14,"Gauteng","Urban",4,"Medium","EA_0195","Townhouse"
15,"Western Cape","Rural",3,"Medium","EA_0402","House"
16,"Mpumalanga","Urban",4,"Low","EA_0472","House"
17,"KwaZulu-Natal","Urban",5,"Medium","EA_0386","Townhouse"
18,"KwaZulu-Natal","Urban",6,"Low","EA_0433","Informal"
19,"Eastern Cape","Urban",8,"Medium","EA_0268","Flat"
20,"Gauteng","Urban",5,"Low","EA_0278","Flat"
21,"KwaZulu-Natal","Urban",5,"High","EA_0448","Flat"
22,"Mpumalanga","Rural",7,"Medium","EA_0058","House"
23,"Gauteng","Rural",2,"Medium","EA_0433","Traditional"
24,"Eastern Cape","Urban",4,"High","EA_0437","Townhouse"
25,"KwaZulu-Natal","Urban",4,"High","EA_0410","House"
26,"North West","Urban",4,"Medium","EA_0346","House"
27,"Eastern Cape","Urban",1,"High","EA_0251","House"
28,"Gauteng","Rural",4,"Low","EA_0147","House"
29,"Mpumalanga","Urban",5,"High","EA_0334","House"
30,"KwaZulu-Natal","Urban",7,"Low","EA_0414","House"
31,"KwaZulu-Natal","Rural",2,"Low","EA_0304","House"
32,"Gauteng","Urban",5,"High","EA_0411","Flat"
33,"Western Cape","Rural",4,"Medium","EA_0483","House"
34,"Western Cape","Rural",2,"Medium","EA_0479","Informal"
35,"Limpopo","Urban",6,"Medium","EA_0375","House"
36,"Gauteng","Urban",4,"Medium","EA_0351","House"
37,"Gauteng","Rural",4,"Medium","EA_0394","Informal"
38,"Gauteng","Urban",7,"Low","EA_0273","Informal"
39,"Northern Cape","Urban",4,"Low","EA_0190","Townhouse"
40,"North West","Rural",5,"Low","EA_0159","House"
41,"KwaZulu-Natal","Rural",4,"Medium","EA_0013","House"
42,"North West","Urban",6,"Medium","EA_0194","House"
43,"Eastern Cape","Rural",4,"Low","EA_0091","Traditional"
44,"Mpumalanga","Rural",5,"High","EA_0121","House"
45,"Northern Cape","Rural",4,"Low","EA_0352","Informal"
46,"Mpumalanga","Urban",4,"Low","EA_0212","House"
47,"Eastern Cape","Urban",5,"High","EA_0429","Townhouse"
48,"Gauteng","Rural",4,"Low","EA_0005","Traditional"
49,"Western Cape","Urban",7,"Low","EA_0433","Informal"
50,"Western Cape","Urban",6,"Low","EA_0381","Townhouse"
51,"Gauteng","Urban",4,"High","EA_0119","House"
52,"Eastern Cape","Rural",7,"Low","EA_0401","House"
