"ea_id","country","province_code","district_code","stratum","urban_rural","ea_type","total_households","total_population","households_listed","longitude","latitude","elevation","road_distance_km","health_facility_km","school_km","market_km","mobile_coverage","accessibility","last_census_year","listing_date","selection_probability","psu_weight","quality_flag"
"EA00001","Lesotho","P7","D19","Lesotho_Rural","Rural","Farm",38,179,37,23.4576942026615,-17.2001028968953,249,29.3728884066197,1.54107370383748,18.254303735562,37.0867319106778,"2G","Easy",2022,2023-06-22,0.0000716058362525274,13965.3421052632,0
"EA00002","Botswana","P7","D23","Botswana_Urban","Urban","Mixed",218,858,217,25.4530620481819,-32.4005786166526,351,15.3276125201955,7.02999798538995,3.85612756924188,0.934280853252858,"2G","Moderate",2022,2023-10-29,0.000410791376396078,2434.32568807339,0
"EA00003","Comoros","P1","D1","Comoros_Urban","Urban","Formal",62,211,60,26.4395914413035,-19.2958696116693,1377,16.2245237850584,2.56117361154157,4.38353373182422,4.50145957991481,"3G","Easy",2022,2023-01-25,0.000116830574938334,8559.40322580645,0
"EA00004","Comoros","P2","D2","Comoros_Rural","Rural","Village",62,304,61,25.2405298687518,-14.31486194022,1142,3.99987190030515,4.40002703175716,25.1012621620607,11.8916531536733,"3G","Easy",2022,2023-12-04,0.000116830574938334,8559.40322580645,0
"EA00005","DRC","P6","D2","DRC_Rural","Rural","Village",90,334,93,18.1492768088356,-29.9566086032428,700,10.4938118602149,2.91608018800616,3.00926028285176,11.3937861838596,"2G","Easy",2022,2023-05-01,0.000169592770071775,5896.47777777778,0
"EA00006","Comoros","P8","D21","Comoros_Urban","Urban","Formal",110,443,98,29.3870791932568,-18.6930161877535,1055,23.5724179156973,39.3885922969735,7.9968890357287,4.4332392141223,"3G","Moderate",2022,2023-08-26,0.000207280052309948,4824.39090909091,0
"EA00007","Botswana","P7","D18","Botswana_Rural","Rural","Settlement",84,338,84,31.9638232327998,-14.4536975980736,574,14.6897295257077,4.85548350494355,0.0866367659004179,1.96622536334314,"4G","Difficult",2022,2023-05-30,0.000158286585400324,6317.65476190476,0
"EA00008","Botswana","P5","D13","Botswana_Urban","Urban","Formal",111,487,113,26.0618021106347,-21.0523546556942,146,62.5342769051129,13.2598292357744,2.19946333440021,7.68219983205199,"None","Easy",2022,2023-04-08,0.000209164416421856,4780.92792792793,0
"EA00009","Lesotho","P4","D13","Lesotho_Urban","Urban","Formal",109,456,103,19.7097128629684,-18.044681425672,1333,44.8306836166835,3.11809247825295,2.12038377532735,12.6249076466294,"2G","Moderate",2022,2023-10-28,0.000205395688198039,4868.65137614679,0
"EA00010","Angola","P3","D15","Angola_Rural","Rural","Village",142,559,138,25.1659268001094,-32.9732710751705,1497,8.68219314930937,0.426379372108513,6.18150431260021,13.4949217031928,"4G","Moderate",2022,2023-02-26,0.000267579703891023,3737.20422535211,0
