"person_id","household_id","ea_id","member_number","relationship","age","gender","marital_status","education_level","employment_status","occupation_code","industry_code","hours_worked_week","income_monthly","chronic_illness","disability","school_attendance","literacy","birth_certificate","id_document","mobile_phone","migrant_status"
"HH00001_001_01","HH00001_001","EA02085",1,"Head",39,"Female","Married","Primary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,1,1,"Non-migrant"
"HH00001_001_02","HH00001_001","EA02085",2,"Child",15,"Male","Married","Tertiary","Student",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"International"
"HH00001_001_03","HH00001_001","EA02085",3,"Child",21,"Female","Married","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Attending",1,1,1,0,"Non-migrant"
"HH00001_001_04","HH00001_001","EA02085",4,"Grandchild",14,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,1,"Attending",0,1,0,1,"Non-migrant"
"HH00001_001_05","HH00001_001","EA02085",5,"Child",1,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00001_001_06","HH00001_001","EA02085",6,"Child",17,"Female","Married","Tertiary","Homemaker",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"Non-migrant"
"HH00001_001_07","HH00001_001","EA02085",7,"Grandchild",52,"Female","Divorced","Primary incomplete","Employed",NA,NA,54,760,0,0,"Not attending",1,0,0,1,"Non-migrant"
"HH00001_002_01","HH00001_002","EA02085",1,"Head",35,"Male","Married",NA,"Employed",NA,NA,40,798,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_002_02","HH00001_002","EA02085",2,"Spouse",44,"Female","Married",NA,"Employed",NA,NA,36,1095,0,0,"Not attending",0,1,1,1,"Non-migrant"
"HH00001_002_03","HH00001_002","EA02085",3,"Non-relative",18,"Female","Never married","Secondary incomplete","Employed",NA,NA,53,238,0,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00001_002_04","HH00001_002","EA02085",4,"Child",20,"Female","Married","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,0,1,"Non-migrant"
"HH00001_002_05","HH00001_002","EA02085",5,"Child",7,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Attending",0,0,0,0,"Non-migrant"
"HH00001_003_01","HH00001_003","EA02085",1,"Head",31,"Female","Married","Tertiary","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_003_02","HH00001_003","EA02085",2,"Spouse",30,"Male","Married","Tertiary","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Internal"
"HH00001_003_03","HH00001_003","EA02085",3,"Grandchild",68,"Female","Widowed","Tertiary","Retired",NA,NA,NA,NA,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00001_003_04","HH00001_003","EA02085",4,"Child",6,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,0,0,0,"Non-migrant"
"HH00001_003_05","HH00001_003","EA02085",5,"Child",12,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,1,"Not attending",1,1,0,1,"Non-migrant"
"HH00001_004_01","HH00001_004","EA02085",1,"Head",50,"Female","Married","Secondary complete","Employed",NA,NA,53,1297,0,0,"Not attending",1,1,1,1,"Internal"
"HH00001_004_02","HH00001_004","EA02085",2,"Spouse",44,"Male","Widowed","Secondary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_004_03","HH00001_004","EA02085",3,"Grandchild",49,"Male","Married","Secondary complete","Employed",NA,NA,36,369,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_004_04","HH00001_004","EA02085",4,"Child",6,"Male","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,1,"Attending",1,0,0,0,"Internal"
"HH00001_004_05","HH00001_004","EA02085",5,"Child",14,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"Non-migrant"
"HH00001_005_01","HH00001_005","EA02085",1,"Head",56,"Male","Never married","Secondary incomplete","Employed",NA,NA,30,553,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_005_02","HH00001_005","EA02085",2,"Spouse",61,"Female","Widowed","Primary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",0,1,1,0,"Internal"
"HH00001_005_03","HH00001_005","EA02085",3,"Child",10,"Male","Never married",NA,"Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,0,"Non-migrant"
"HH00001_006_01","HH00001_006","EA02085",1,"Head",40,"Female","Married","Secondary complete","Employed",NA,NA,25,107,0,0,"Not attending",1,1,0,1,"Non-migrant"
"HH00001_006_02","HH00001_006","EA02085",2,"Non-relative",34,"Female","Widowed","None","Employed",NA,NA,43,1658,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00001_007_01","HH00001_007","EA02085",1,"Head",45,"Male","Married","Primary complete","Student",NA,NA,NA,NA,0,0,"Not attending",1,1,0,1,"Internal"
"HH00001_007_02","HH00001_007","EA02085",2,"Spouse",51,"Female","Married","Secondary incomplete","Employed",NA,NA,41,877,0,0,"Not attending",1,1,0,1,"International"
"HH00001_007_03","HH00001_007","EA02085",3,"Parent",73,"Female","Married","None","Retired",NA,NA,NA,NA,0,0,"Not attending",0,1,1,0,"Non-migrant"
"HH00001_008_01","HH00001_008","EA02085",1,"Head",44,"Female","Never married","Primary complete","Employed",NA,NA,47,416,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00001_008_02","HH00001_008","EA02085",2,"Non-relative",48,"Male","Never married","Primary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00001_008_03","HH00001_008","EA02085",3,"Sibling",21,"Female","Married","Primary complete","Unemployed",NA,NA,NA,NA,0,0,"Attending",1,1,1,1,"Non-migrant"
"HH00001_008_04","HH00001_008","EA02085",4,"Grandchild",12,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,1,0,"Not attending",1,1,0,0,"Non-migrant"
"HH00001_008_05","HH00001_008","EA02085",5,"Child",9,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,1,"Attending",0,1,0,0,"Non-migrant"
"HH00001_009_01","HH00001_009","EA02085",1,"Head",52,"Female","Never married","Secondary incomplete","Employed",NA,NA,48,822,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_009_02","HH00001_009","EA02085",2,"Spouse",50,"Male","Never married","None","Unemployed",NA,NA,NA,NA,0,0,"Not attending",0,0,1,1,"Non-migrant"
"HH00001_009_03","HH00001_009","EA02085",3,"Non-relative",27,"Female","Married","Primary incomplete","Employed",NA,NA,40,75,0,0,"Not attending",0,1,1,1,"Non-migrant"
"HH00001_009_04","HH00001_009","EA02085",4,"Parent",83,"Female","Married","Secondary complete","Retired",NA,NA,NA,NA,0,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00001_009_05","HH00001_009","EA02085",5,"Child",6,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,0,"Non-migrant"
"HH00001_009_06","HH00001_009","EA02085",6,"Child",26,"Male","Married","Primary incomplete","Employed",NA,NA,33,2400,0,0,"Not attending",1,1,1,0,"Internal"
"HH00002_001_01","HH00002_001","EA01271",1,"Head",37,"Female","Never married","Secondary complete","Employed",NA,NA,42,823,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_001_02","HH00002_001","EA01271",2,"Spouse",24,"Male","Married","Primary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Attending",0,1,1,1,"Internal"
"HH00002_001_03","HH00002_001","EA01271",3,"Grandchild",21,"Male","Never married","None","Employed",NA,NA,23,310,0,0,"Not attending",1,1,0,0,"Non-migrant"
"HH00002_002_01","HH00002_002","EA01271",1,"Head",37,"Female","Separated","Secondary incomplete","Unemployed",NA,NA,NA,NA,1,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_002_02","HH00002_002","EA01271",2,"Spouse",36,"Male","Never married","Secondary complete","Employed",NA,NA,52,711,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_002_03","HH00002_002","EA01271",3,"Child",16,"Male","Married","Primary incomplete","Employed",NA,NA,45,1186,0,0,"Not attending",0,1,1,1,"Non-migrant"
"HH00002_003_01","HH00002_003","EA01271",1,"Head",48,"Male","Widowed","Secondary complete","Employed",NA,NA,30,NA,0,0,"Not attending",1,1,1,0,"Internal"
"HH00002_003_02","HH00002_003","EA01271",2,"Child",12,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",0,1,0,1,"Non-migrant"
"HH00002_003_03","HH00002_003","EA01271",3,"Child",21,"Female","Never married","Tertiary","Employed",NA,NA,49,884,0,0,"Attending",1,0,1,1,"Non-migrant"
"HH00002_003_04","HH00002_003","EA01271",4,"Child",7,"Male","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,0,"Non-migrant"
"HH00002_003_05","HH00002_003","EA01271",5,"Grandchild",21,"Female","Never married","Secondary incomplete","Employed",NA,NA,33,217,0,0,"Attending",1,1,1,1,"Non-migrant"
"HH00002_003_06","HH00002_003","EA01271",6,"Other relative",0,"Male","Never married","None","Not applicable",NA,NA,NA,NA,1,0,"Not applicable",NA,1,0,0,"Internal"
"HH00002_003_07","HH00002_003","EA01271",7,"Sibling",49,"Female","Never married","Primary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,0,1,"Non-migrant"
"HH00002_004_01","HH00002_004","EA01271",1,"Head",32,"Female","Never married","Primary complete","Employed",NA,NA,36,511,0,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_004_02","HH00002_004","EA01271",2,"Spouse",33,"Male","Never married","Primary incomplete","Employed",NA,NA,43,1431,1,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_004_03","HH00002_004","EA01271",3,"Parent",55,"Female","Married","None","Employed",NA,NA,55,582,0,1,"Not attending",1,1,1,1,"Internal"
"HH00002_004_04","HH00002_004","EA01271",4,"Child",10,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",0,1,0,0,"Internal"
"HH00002_004_05","HH00002_004","EA01271",5,"Child",13,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,1,"Attending",0,1,0,1,"Non-migrant"
"HH00002_004_06","HH00002_004","EA01271",6,"Child",3,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,0,0,0,"Non-migrant"
"HH00002_004_07","HH00002_004","EA01271",7,"Other relative",28,"Male","Never married","Secondary incomplete","Unemployed",NA,NA,NA,NA,1,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00002_005_01","HH00002_005","EA01271",1,"Head",44,"Male","Married","Primary incomplete","Employed",NA,NA,NA,169,0,0,"Not attending",0,0,0,1,"Non-migrant"
"HH00002_005_02","HH00002_005","EA01271",2,"Spouse",42,"Female","Never married","Primary complete","Unemployed",NA,NA,NA,NA,0,1,"Not attending",1,1,1,0,"Non-migrant"
