"household_id","ea_id","country","stratum","urban_rural","province_code","district_code","interview_date","household_size","dwelling_type","tenure_status","wall_material","roof_material","water_source","electricity","toilet_type","cooking_fuel","n_rooms","n_bedrooms","has_radio","has_tv","has_fridge","has_bicycle","has_motorcycle","has_car","has_computer","has_internet","monthly_income","monthly_expenditure","receives_grants","agricultural_hh","livestock_owned","interview_mode","interview_duration_min","respondent_age","respondent_gender","interview_language","interview_result","psu_weight","hh_weight","final_weight","quality_check","data_entry_date"
"HH00001_001","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-03-06,7,"Shack","Owned","Mud","Iron","Borehole","Solar","None","Charcoal",5,3,1,1,0,0,1,1,0,0,1003,619,0,0,0,"Face-to-face",15,39,"Female","Local","Complete",8699.72131147541,7348.54818391942,7659.36291073172,0,2024-05-07
"HH00001_002","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-04-28,5,"House","Rented","Brick","Other","Well","None","Flush","Electricity",3,3,1,0,1,0,0,0,0,1,1650,1553,1,0,1,"Face-to-face",27,35,"Male","English","Complete",8699.72131147541,7278.71111350207,7586.57200652029,0,2024-07-30
"HH00001_003","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-07-06,5,"Flat","Owned","Brick","Tile","Piped","None","Pit","Other",5,2,1,0,1,0,0,0,1,1,565,528,1,0,0,"Face-to-face",56,31,"Female","English","Complete",8699.72131147541,7249.02564857656,7555.63096301787,1,2024-05-10
"HH00001_004","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-03-17,5,"House","Owned","Brick","Iron","Other","None","Flush","Paraffin",5,4,1,0,0,0,0,0,0,0,1420,971,0,1,0,"Face-to-face",33,50,"Female","English","Complete",8699.72131147541,9381.6989445836,9778.50796338774,1,2024-03-15
"HH00001_005","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-06-14,3,"Traditional","Owned","Brick","Concrete","River","Solar","Flush","Charcoal",4,2,1,0,0,0,0,0,0,0,2062,1366,0,0,0,"Face-to-face",57,56,"Male","French","Complete",8699.72131147541,7466.53756040883,7782.34277444425,0,2024-04-02
"HH00001_006","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-03-01,2,"Flat","Rented","Brick","Iron","Borehole","None","Pit","Paraffin",2,2,1,1,0,0,0,1,0,1,629,509,0,0,0,"Telephone",42,40,"Female","English","Complete",8699.72131147541,7488.92253551094,7805.67454607636,0,2024-02-16
"HH00001_007","EA02085","DRC","DRC_Rural","Rural","P4","D24",2023-12-27,3,"Flat","Owned","Other","Iron","Piped","Solar","None","Wood",2,3,1,1,0,0,0,0,1,0,3381,2739,0,0,0,"Face-to-face",27,45,"Male","English","Complete",8699.72131147541,8541.19363031784,8902.45257540681,1,2024-04-17
"HH00001_008","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-04-23,5,"Traditional","Owned","Brick","Thatch","Other","Grid","Flush","Wood",2,2,0,1,0,0,0,0,1,0,203,192,1,0,0,"Face-to-face",40,44,"Female","English","Complete",8699.72131147541,10162.5031122053,10592.3370806973,0,2024-04-28
"HH00001_009","EA02085","DRC","DRC_Rural","Rural","P4","D24",2024-01-30,6,"Traditional","Owned","Mud","Tile","Well","None","Flush","Charcoal",5,1,1,1,1,1,0,0,0,0,13479,NA,1,1,0,"Face-to-face",23,52,"Female","Local","Complete",8699.72131147541,7973.60423853109,8310.85638155054,0,2024-02-25
"HH00002_001","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-05-30,3,"House","Owned","Iron","Iron","Piped","Grid","Flush","Charcoal",2,2,1,1,0,0,0,0,0,0,NA,701,1,0,0,"Face-to-face",39,37,"Female","French","Complete",2693.82233502538,2687.16534419974,2800.82188443779,0,2024-07-22
