"response_id","household_id","mode_sequence","initial_mode","final_mode","n_mode_switches","web_attempt_date","web_response","phone_attempt_date","phone_response","f2f_attempt_date","f2f_response","final_response_status","response_propensity_score","mode_preference_stated","device_type","completion_time_minutes","data_quality_score","item_nonresponse_rate","straightlining_detected","mode_effect_adjustment","cost_total","interviewer_id","paradata_available"
"MM00001","HH00154","Web-Phone","Web","Phone",3,2024-01-31,"No response",19762,"Complete",NA,NA,"Complete",0.424547333271245,"No preference","Desktop",38,96.861165042769,0.0843323619637338,0,0.781571562228762,10.48,"INT048",1
"MM00002","HH00162","Web-Phone","Web","Phone",0,2024-01-16,"No response",19747,"Complete",NA,NA,"Complete",0.273121186400001,"Face-to-face","NA",22,73.9181679961494,0.05085489369611,0,1.00583822101877,12.01,"INT036",1
"MM00003","HH01318","Web-Phone","Web","Phone",0,2024-01-09,"No response",19743,"No response",NA,NA,"No response",0.234367227272621,"No preference","NA",34,78.8088320141317,0.0919988974243015,0,0.882066308612538,10.26,"INT012",1
"MM00004","HH00360","Phone-F2F","Phone","Face-to-face",0,2024-01-11,"No response",19744,"No response",19763,"Complete","Complete",0.720498758121642,"Face-to-face","Desktop",70,74.9573625428894,0.015912233952522,0,0.958572030050927,26.57,"INT042",1
"MM00005","HH00407","Phone-F2F","Phone","Face-to-face",0,2024-01-08,"Partial",19745,"Complete",19755,"Complete","Complete",0.641733864569242,"Web","NA",60,69.8237812882852,0.0422827672388738,0,1.05322188097355,35.51,"INT020",1
"MM00006","HH01001","Web only","Web","Web",1,2024-01-18,"No response",NA,NA,NA,NA,"No response",0.56584203687524,"Face-to-face","Mobile",28,79.118081999187,0.0742228649133758,0,0.877724058184693,2.89,NA,1
"MM00007","HH00711","Web only","Web","Web",0,2024-01-20,"Partial",NA,NA,NA,NA,"Partial",0.106805379800184,"No preference","Tablet",2,49.8921862473471,0.24787635859459,0,1.03143481672498,4.75,NA,1
"MM00008","HH01112","Web-F2F","Web","Face-to-face",0,2024-01-27,"No response",NA,NA,19765,"Complete","Complete",0.161520053089841,"Phone","Mobile",44,76.6167654941933,0.132858772188528,0,0.799346352422417,36.38,"INT039",1
"MM00009","HH00276","Web-F2F","Web","Face-to-face",1,2024-01-17,"Complete",NA,NA,19766,"Complete","Complete",0.624758519471761,"No preference","Tablet",40,88.7654770955251,0.147125125354151,1,0.912148764549073,27.74,"INT049",1
"MM00010","HH00391","Web-F2F","Web","Face-to-face",3,2024-01-16,"No response",NA,NA,19752,"Partial","Partial",0.475231639087332,"Web","NA",44,71.8121251776653,0.120328137635641,0,0.930088307243312,36.48,"INT039",1
"MM00011","HH00125","F2F only","Face-to-face","Face-to-face",0,2024-01-14,"Complete",NA,NA,19762,"Complete","Complete",0.33197673506215,"No preference","Desktop",53,60.6510277700128,0.153322541133363,0,0.855270053437123,49.12,"INT001",1
"MM00012","HH01013","F2F only","Face-to-face","Face-to-face",1,2024-01-11,"No response",NA,NA,19760,"Complete","Complete",0.423610978387786,"Phone","Mobile",49,84.9219735127149,0.0591064182004877,0,0.84474748474201,25.07,"INT032",0
"MM00013","HH00106","Web-F2F","Web","Face-to-face",2,2024-01-11,"No response",NA,NA,19763,"Complete","Complete",0.780583165318071,"Web","NA",53,42.9150630734121,0.035484022841488,0,0.964238626037078,34.65,"INT044",1
"MM00014","HH00774","F2F only","Face-to-face","Face-to-face",1,2024-01-08,"No response",NA,NA,19757,"Complete","Complete",0.573380736073504,"Phone","Mobile",28,68.1007416224874,0.0870789934215047,0,0.995793963910762,43.77,"INT033",1
"MM00015","HH00406","Web-Phone","Web","Phone",1,2024-01-12,"Complete",19751,"Partial",NA,NA,"Partial",0.0869038587309305,"Web","Mobile",45,55.4746572327391,0.0391568797977401,0,1.01403624174581,10.13,"INT037",1
"MM00016","HH00750","Web-Phone","Web","Phone",0,2024-01-19,"No response",19748,"No response",NA,NA,"No response",0.483841385998588,"No preference","NA",37,87.4481687862069,0.246273239918077,0,1.06575810095819,11.53,"INT016",1
"MM00017","HH00559","F2F only","Face-to-face","Face-to-face",2,2024-01-29,"No response",NA,NA,19780,"Complete","Complete",0.413107920692208,"No preference","Mobile",62,91.7203572321261,0.0911258385293064,1,0.912321746998063,27.54,"INT034",1
"MM00018","HH01480","Web-F2F","Web","Face-to-face",0,2024-01-13,"No response",NA,NA,19749,"Complete","Complete",0.243628061766917,"Web","Mobile",47,68.1763333101149,0.0594425679001745,0,0.939719193799428,28.46,"INT045",0
"MM00019","HH00493","F2F only","Face-to-face","Face-to-face",0,2024-01-07,"No response",NA,NA,19763,"Complete","Complete",0.525130494435854,"Web","Tablet",50,84.3550726272161,0.0638968264903048,1,0.812603126379016,40.82,"INT014",1
"MM00020","HH00939","Web only","Web","Web",3,2024-01-11,"Partial",NA,NA,NA,NA,"Partial",0.536599947706799,"No preference","Desktop",25,94.2211060129069,0.0818829982919294,0,0.951729823668455,2.07,NA,0
"MM00021","HH00774","Web-Phone","Web","Phone",0,2024-01-07,"Complete",19746,"No response",NA,NA,"No response",0.353278370276454,"Face-to-face","Desktop",44,94.7780502611345,0.0445301796451472,0,1.16053144683143,11.63,"INT025",1
"MM00022","HH01441","F2F only","Face-to-face","Face-to-face",0,2024-01-18,"Complete",NA,NA,19766,"Complete","Complete",0.495088287321978,"No preference","Desktop",52,72.3066985734136,0.0553023186496861,0,1.0186874026283,35.02,"INT033",1
"MM00023","HH00324","Web-F2F","Web","Face-to-face",1,2024-01-30,"No response",NA,NA,19786,"Complete","Complete",0.229135603841701,"No preference","NA",55,84.7180423768188,0.111782317081429,0,0.958302692280351,45.11,"INT039",0
"MM00024","HH00942","F2F only","Face-to-face","Face-to-face",0,2024-01-13,"No response",NA,NA,19768,"Refused","Refused",0.0382741320585968,"Face-to-face","NA",60,66.4987508643746,0.10022826935214,0,1.05510245541336,43.34,"INT034",0
"MM00025","HH01483","Web-Phone","Web","Phone",0,2024-01-10,"No response",19745,"No response",NA,NA,"No response",0.58280812723213,"Web","Desktop",27,89.3490748158751,0.2262927436573,0,0.957794338885524,12.29,"INT028",0
"MM00026","HH01320","Web-Phone","Web","Phone",2,2024-01-06,"No response",19743,"No response",NA,NA,"No response",0.601940494132116,"No preference","Tablet",44,62.000674747267,0.0381165050706352,1,1.02168289352968,11.24,"INT045",0
"MM00027","HH01476","Web only","Web","Web",1,2024-01-25,"No response",NA,NA,NA,NA,"No response",0.334793077815789,"Face-to-face","Desktop",23,84.7194073303185,0.0163420792710825,0,0.935032517142089,3.84,NA,0
"MM00028","HH01003","Phone-F2F","Phone","Face-to-face",0,2024-01-15,"Complete",19749,"Complete",19756,"Complete","Complete",0.289956032535883,"Web","Mobile",48,77.1889285587928,0.154905742829985,0,1.01905508770777,27.93,"INT008",1
"MM00029","HH00833","F2F only","Face-to-face","Face-to-face",0,2024-01-25,"No response",NA,NA,19782,"Partial","Partial",0.453921574824565,"No preference","Tablet",55,85.9522184434781,0.0712478418948569,0,0.998992649119501,32.26,"INT036",0
"MM00030","HH00693","Phone-F2F","Phone","Face-to-face",0,2024-01-10,"No response",19750,"Complete",19762,"Complete","Complete",0.234891442727023,"Phone","Mobile",45,69.917986054389,0.0655296191820635,0,0.995228611507671,30.2,"INT047",1
"MM00031","HH00580","Web only","Web","Web",0,2024-01-27,"Complete",NA,NA,NA,NA,"Complete",0.533873004668132,"No preference","Desktop",34,77.5925661280829,0.118347793721255,1,1.15515566796884,2.68,NA,1
"MM00032","HH00923","F2F only","Face-to-face","Face-to-face",0,2024-01-02,"No response",NA,NA,19752,"Complete","Complete",0.630867607813099,"Web","Desktop",54,79.0041106426472,0.0672239648260733,0,0.962522028734303,25.02,"INT020",0
"MM00033","HH00481","Web-F2F","Web","Face-to-face",1,2024-01-09,"No response",NA,NA,19749,"Complete","Complete",0.32277942242049,"No preference","Mobile",38,71.5744491413227,0.0603325714774519,1,1.10666261149343,34.1,"INT027",0
"MM00034","HH00624","Web-F2F","Web","Face-to-face",1,2024-01-01,"No response",NA,NA,19753,"Complete","Complete",0.469389564823037,"Phone","Mobile",30,86.4394176746736,0.0580376266828188,0,1.09524713582773,33.96,"INT046",1
"MM00035","HH00178","Web-F2F","Web","Face-to-face",2,2024-01-30,"No response",NA,NA,19782,"Partial","Partial",0.0934243247215071,"Phone","Mobile",69,52.3963833138798,0.055690773461631,0,1.04443019920737,49.82,"INT024",0
"MM00036","HH01386","Web-F2F","Web","Face-to-face",2,2024-01-12,"Complete",NA,NA,19761,"Refused","Refused",0.503300837422051,"Web","Tablet",52,79.4527765811688,0.17153940216745,0,0.880681043961311,30.97,"INT025",1
