"area_id","district_code","area_name","area_type","total_population","sample_size","direct_estimate_poverty","direct_estimate_se","auxiliary_mean_income","auxiliary_unemployment","auxiliary_education_years","auxiliary_asset_index","auxiliary_dependency_ratio","auxiliary_urbanization","satellite_nightlights","satellite_vegetation","distance_to_road_km","distance_to_market_km","climate_rainfall_mm","climate_temperature_c","model_based_estimate","model_based_mse","fh_estimate","fh_mse","synthetic_estimate","composite_estimate","reliability_flag"
"SA0001","D118","Area 1","Rural village",3346,64,0.240499677742384,0.0152667034237648,905.121241011296,0.0531050888200364,9.34888124437244,-0.0432920879821288,1.30395490482252,0.344172855827849,108.78774970343,0.487220701497499,4.49217834023243,2.48907108426247,759.133915877095,23.4185847238061,0.542871718624619,0.0000053872031528171,0.520275169035202,0.00000530853928873986,0.526795958896639,0.436342521647357,"Reliable"
"SA0002","D133","Area 2","Urban formal",715,96,0.562075132565501,0.0012256171639613,646.186975423523,0.464272484663401,7.37066150188237,-0.66390618152728,0.790779765761479,0.43937518433615,2.48188262049883,0.660080553496901,1.7430839384906,16.4317956930938,1050.98322495292,17.248118003719,0.855919726545069,0.000000000250626442546697,0.860896581316317,0.000000000225607797249039,0.8609414684047,0.771250146691072,"Reliable"
"SA0003","D098","Area 3","Industrial",5992,75,0.35070145522032,0.000488001803050023,772.409270007241,0.337125834411606,9.13035797631641,0.0174204963713577,0.861480117174223,0.565651119173667,27.7977301924402,0.595856583709099,3.15657039958353,8.46905829342914,880.306305109317,25.7167624804851,0.745203414235237,0.00000000000529886784315194,0.731465296194131,0.00000000000567120523277494,0.731474363923551,0.617236143901988,"Use with caution"
"SA0004","D137","Area 4","Commercial",2004,11,0.378954655446722,0.0191544494014317,2864.79572090951,0.0758458592442,6.38850750793716,2.81833811141915,0.801178366807575,0.287435033805339,5.81049858992799,0.690434514988665,6.75908582264042,7.48749195556057,958.753594627846,24.4624124312045,0.682109865957916,0.0000144076942774688,0.685107790402716,0.0000129846449020218,0.696340332531297,0.593261849915918,"Reliable"
"SA0005","D139","Area 5","Rural village",2869,97,0.324915916189552,0.000746588907432834,885.302858473843,0.189446565047563,8.61756800934055,1.8573185684743,0.462390042474929,0.469184110866554,7.23035306176973,0.209784183470817,6.64678618290877,2.24865641444921,903.517691192312,19.5989891687929,0.624398513768919,0.0000000000340752277745547,0.677797056570531,0.0000000000310671865653795,0.677816725988738,0.571932714456237,"Reliable"
"SA0006","D006","Area 6","Rural village",1023,56,0.219672913539077,0.0113346917175114,2227.04153424824,0.197547697117109,10.6595787808057,1.49338801092383,1.56675583764251,0.328463210058482,0.940182438760095,0.617187659822122,0.463731724303216,2.06037400076801,568.934516396125,23.2214032921052,0.431942741149585,0.00000150316986522512,0.432881558472334,0.00000162965164698284,0.435620761576896,0.368918964992357,"Reliable"
"SA0007","D018","Area 7","Industrial",4700,51,0.562997426122236,0.000886620769806953,710.685516469029,0.2126870129525,4.50050230836172,0.487312527131859,0.531063500208497,0.576596751805827,1.52438159891329,0.735529337972026,23.9696251774643,27.1277153665636,1093.18087748489,26.8568552868912,0.783363876765311,0.000000000054192412349041,0.779364038395669,0.0000000000617898960696953,0.77938104689694,0.714454054713639,"Reliable"
"SA0008","D030","Area 8","Commercial",34319,52,0.466728613417492,0.00167731028055572,550.92365181634,0.379588820303952,4.25972390476594,-0.0542923599179602,0.249239686978976,0.2341382849963,23.9120863002333,0.570095585340195,3.43429941684008,29.6125277011916,793.844382223827,20.8268355174642,0.817253057917176,0.000000000907338849429724,0.834473154618091,0.00000000079128233337862,0.834576614755887,0.724149792257911,"Reliable"
"SA0009","D029","Area 9","Rural village",1654,41,0.243918068920052,0.00238879810461605,2133.09099031344,0.269548738607116,9.43952179192008,-0.746793562514263,0.833964449936172,0.112213060973276,0.938043958151459,0.549841910992106,0.538050825707614,8.25920218965039,1002.29737413338,19.7027235278368,0.624150742446547,0.00000000324953100246867,0.633689854840686,0.00000000325439324605843,0.633912272512599,0.516758319064496,"Reliable"
"SA0010","D112","Area 10","Commercial",1711,43,0.196762012260572,0.0000269850391494564,1956.13736587259,0.0510888760201608,13.2878187506397,-0.507062602283208,0.866746829773681,0.243065077968525,0.635323890408741,0.717092754080588,1.95252104196697,7.81918793874693,414.537049681259,22.5431534605207,0.407344812508401,4.98016788197454e-17,0.365609919609321,5.30264042359486e-17,0.365609931904696,0.314955547404696,"Reliable"
"SA0011","D037","Area 11","Urban formal",3665,43,0.266506850939333,0.00533447420913058,7906.29472017931,0.123460366479065,11.7136142256771,-0.185270500377409,0.89530563840167,0.261746003919903,63.7166549024893,0.482830683634291,3.24564910959452,14.461853391582,828.780141385065,21.7897966045108,0.300453012330359,0.000000095186169190771,0.300096892057324,0.0000000807481124305215,0.300192477944412,0.290019879721927,"Reliable"
"SA0012","D063","Area 12","Urban informal",6012,85,0.441500210794307,0.0105102267554943,316.731102937094,0.071682257188221,6.19704940504323,0.601431991534536,0.843345656551745,0.439146283796454,5.25904280755012,0.616906413829099,1.75630077719688,1.113964272663,1193.12110343791,23.6582860330403,0.573927023832726,0.000000972261016972064,0.606249568524327,0.0000012069164851883,0.608069470104296,0.556824761205321,"Reliable"
"SA0013","D102","Area 13","Urban informal",6515,11,0.234038773701459,0.00553226383674868,858.202847687619,0.192003415437765,5.22031262968009,0.0973726713289342,0.852288868005016,0.218059205991424,4.83175013359907,0.84362083858227,6.68488472213453,5.49305915167383,802.052170479753,25.2322931880132,0.650886152862832,0.0000000914719903270327,0.654077352226273,0.0000000933865573011641,0.655362919912181,0.528065778668829,"Reliable"
"SA0014","D141","Area 14","Rural scattered",628,66,0.0301007555479963,0.00135675215228837,1360.94630887488,0.105623689070817,7.55344012152925,0.31677795647559,0.776625159265361,0.408894211414294,9.20776899713734,0.217612545523246,19.4228187472302,43.5383449842162,455.812269275498,19.7025932913495,0.51794770379711,0.000000000298820690358861,0.523725463507642,0.000000000338783414036701,0.523816328779064,0.375638051119748,"Unreliable"
"SA0015","D103","Area 15","Urban formal",2703,93,0.4373796607103,0.00403820010318453,666.94251331377,0.229153981014483,6.91147479078504,-1.10778329666875,0.473112111832261,0.447505204122664,4.29817079471069,0.822737648242784,2.04923499841243,14.3488976441202,641.519037047397,23.2771168160568,0.721629782592089,0.0000000306374849431798,0.7527162973697,0.0000000265487276539434,0.753230518717433,0.65811530637188,"Use with caution"
"SA0016","D057","Area 16","Urban informal",8818,47,0.18958614322744,0.00378386761645763,1300.83183121307,0.0651052694781611,4.53830058482665,0.755997125591972,1.17189729718756,0.645750647095197,27.949764039484,0.519805984907957,0.514809639735506,9.14861143385933,731.289787253899,20.4437786208245,0.687060947847987,0.0000000224526907892093,0.690731048226731,0.000000020470213460402,0.691448570169055,0.540387576726944,"Reliable"
"SA0017","D026","Area 17","Rural village",22218,21,0.458194392842594,0.000869947032297114,1059.29716526816,0.255991236540564,8.83961583301333,0.866511169618654,1.08139767930822,0.318229566398893,16.2762224339332,0.842058589878513,1.44237298984081,2.02227347909021,1464.15979822551,23.0446004660037,0.622467086978816,0.0000000000518512284732405,0.61011437533605,0.0000000000572714761673603,0.610125872759415,0.564538380588013,"Reliable"
"SA0018","D081","Area 18","Rural scattered",1303,81,0.18231369383917,0.00097775726427764,756.762810240847,0.226389130437741,5.34918156576024,-0.717188024188454,0.626224126631135,0.261868852328918,8.76379979899051,0.540976042342858,6.68655752183354,10.5881604801739,1180.61621447503,22.6552206311853,0.841870585514469,0.0000000000881631109788276,0.847542804957294,0.0000000000913866353740312,0.847606401476841,0.647974071621857,"Reliable"
